"stimuli","lemma","n","percent"
"escape_from_the_zoo","animal",1,100
"escape_from_the_zoo","background",1,100
"escape_from_the_zoo","bag",1,100
"escape_from_the_zoo","bear",1,100
"escape_from_the_zoo","bird",1,100
"escape_from_the_zoo","building",1,100
"escape_from_the_zoo","bull",1,100
"escape_from_the_zoo","bun",1,100
"escape_from_the_zoo","cafe",1,100
"escape_from_the_zoo","centre",1,100
"escape_from_the_zoo","chaos",1,100
"escape_from_the_zoo","child",1,100
"escape_from_the_zoo","city",1,100
"escape_from_the_zoo","cliff",1,100
"escape_from_the_zoo","cone",1,100
"escape_from_the_zoo","cream",1,100
"escape_from_the_zoo","crebe",1,100
"escape_from_the_zoo","cross",1,100
"escape_from_the_zoo","description",1,100
"escape_from_the_zoo","display",1,100
"escape_from_the_zoo","emu",1,100
"escape_from_the_zoo","enclosure",1,100
"escape_from_the_zoo","escape",1,100
"escape_from_the_zoo","excitement",1,100
"escape_from_the_zoo","face",1,100
"escape_from_the_zoo","fishing",1,100
"escape_from_the_zoo","flamingo",1,100
"escape_from_the_zoo","freedom",1,100
"escape_from_the_zoo","fun",1,100
"escape_from_the_zoo","giraffe",1,100
"escape_from_the_zoo","go",1,100
"escape_from_the_zoo","gopher",1,100
"escape_from_the_zoo","gorilla",1,100
"escape_from_the_zoo","hand",1,100
"escape_from_the_zoo","hippopotamus",1,100
"escape_from_the_zoo","hole",1,100
"escape_from_the_zoo","hyena",1,100
"escape_from_the_zoo","ice",1,100
"escape_from_the_zoo","kangaroo",1,100
"escape_from_the_zoo","lemur",1,100
"escape_from_the_zoo","life",1,100
"escape_from_the_zoo","lion",1,100
"escape_from_the_zoo","lip",1,100
"escape_from_the_zoo","lot",1,100
"escape_from_the_zoo","man",1,100
"escape_from_the_zoo","monkey",1,100
"escape_from_the_zoo","name",1,100
"escape_from_the_zoo","net",1,100
"escape_from_the_zoo","number",1,100
"escape_from_the_zoo","parrot",1,100
"escape_from_the_zoo","peacock",1,100
"escape_from_the_zoo","penguin",1,100
"escape_from_the_zoo","people",1,100
"escape_from_the_zoo","place",1,100
